,0
109,https://www.ravelry.com/patterns/library/sweater-weather
110,https://www.ravelry.com/patterns/library/sweater-with-leaves-patterns
111,https://www.ravelry.com/patterns/library/sweater-cape
112,https://www.ravelry.com/patterns/library/sweater-swoncho
113,https://www.ravelry.com/patterns/library/sweater-with-swing---genser-med-sving
114,https://www.ravelry.com/patterns/library/sweater-4019
115,https://www.ravelry.com/patterns/library/sweater-med-stjerner
116,https://www.ravelry.com/patterns/library/sweater-swoncho-2
117,https://www.ravelry.com/patterns/library/sweater-156
118,https://www.ravelry.com/patterns/library/sweater-med-grafisk-mnster
119,https://www.ravelry.com/patterns/library/sweater-med-pafuglemnster
120,https://www.ravelry.com/patterns/library/sweater-in-zigzag-2423bc
121,https://www.ravelry.com/patterns/library/sweater-pulli-jersey-no-113-t14-127
122,https://www.ravelry.com/patterns/library/sweater-for-martin-matte-foundation
123,https://www.ravelry.com/patterns/library/sweater-with-owl
124,https://www.ravelry.com/patterns/library/sweater-210
125,https://www.ravelry.com/patterns/library/intarsia-argyll-sweater-10155
126,https://www.ravelry.com/patterns/library/back-zipper-hooded-baby-sweater
127,https://www.ravelry.com/patterns/library/sweater--diaper-cover-set
128,https://www.ravelry.com/patterns/library/sweater-with-shoulder-buttons
129,https://www.ravelry.com/patterns/library/sweater-set-5401
130,https://www.ravelry.com/patterns/library/elephant-sweater-no-1
131,https://www.ravelry.com/patterns/library/spencer-sweater-c-145
132,https://www.ravelry.com/patterns/library/sweater-hoodie
133,https://www.ravelry.com/patterns/library/sweater-sampler
134,https://www.ravelry.com/patterns/library/sweater-shaped-shawl
135,https://www.ravelry.com/patterns/library/sweater-shawl-4
136,https://www.ravelry.com/patterns/library/sweater-dress-and-vest-707-1
137,https://www.ravelry.com/patterns/library/sweater-irish-embroidery
138,https://www.ravelry.com/patterns/library/sweater-without-sleeves
139,https://www.ravelry.com/patterns/library/sweater-vest-9
140,https://www.ravelry.com/patterns/library/sweater--blanket-sweater
141,https://www.ravelry.com/patterns/library/bright-color-basketweave-kids-sweater
142,https://www.ravelry.com/patterns/library/boys-sweater-no-9
143,https://www.ravelry.com/patterns/library/boys-sweater-no-5
144,https://www.ravelry.com/patterns/library/sweater-2-2
145,https://www.ravelry.com/patterns/library/sweater-lots-of-love
146,https://www.ravelry.com/patterns/library/sweater-with-patterned-panels
147,https://www.ravelry.com/patterns/library/sweater-clog-slippers
148,https://www.ravelry.com/patterns/library/sweater-slouch-beanie
149,https://www.ravelry.com/patterns/library/sweater-spring
150,https://www.ravelry.com/patterns/library/sweater-marshmallow
151,https://www.ravelry.com/patterns/library/sweater-in-4-ply
152,https://www.ravelry.com/patterns/library/sweater-jackets
153,https://www.ravelry.com/patterns/library/september-sweater-2
154,https://www.ravelry.com/patterns/library/zipper-sweater-2
155,https://www.ravelry.com/patterns/library/sweater-no-9
156,https://www.ravelry.com/patterns/library/terrazzo-sweater
157,https://www.ravelry.com/patterns/library/teddy-bear-sweater-4
158,https://www.ravelry.com/patterns/library/lady-fingers-sweater
159,https://www.ravelry.com/patterns/library/zweig
160,https://www.ravelry.com/patterns/library/friday-sweater-mini
161,https://www.ravelry.com/patterns/library/bregne-sweater-2
162,https://www.ravelry.com/patterns/library/fireworks-8
163,https://www.ravelry.com/patterns/library/cumulus-blouse
164,https://www.ravelry.com/patterns/library/strathcona-sweater
165,https://www.ravelry.com/patterns/library/balloon-sweater-4
166,https://www.ravelry.com/patterns/library/suolaulu-sweater
167,https://www.ravelry.com/patterns/library/misurina
168,https://www.ravelry.com/patterns/library/marseille-sweater
169,https://www.ravelry.com/patterns/library/feel-the-bern
170,https://www.ravelry.com/patterns/library/navelli
171,https://www.ravelry.com/patterns/library/alaska-sweater
172,https://www.ravelry.com/patterns/library/compass-sweater-lite
173,https://www.ravelry.com/patterns/library/easy-eyelet-yoke-sweater
174,https://www.ravelry.com/patterns/library/sunday-sweater---mohair-edition
175,https://www.ravelry.com/patterns/library/stockholm-sweater-2
176,https://www.ravelry.com/patterns/library/caramel-sweater
177,https://www.ravelry.com/patterns/library/first-raglan-sweater
178,https://www.ravelry.com/patterns/library/felix-cardigan
179,https://www.ravelry.com/patterns/library/aros-sweater
180,https://www.ravelry.com/patterns/library/sweater-no-11
181,https://www.ravelry.com/patterns/library/affiknity-video-sweater-class
182,https://www.ravelry.com/patterns/library/trescao-jumper
183,https://www.ravelry.com/patterns/library/le-pouf-sweater
184,https://www.ravelry.com/patterns/library/sheer-v-sweater
185,https://www.ravelry.com/patterns/library/pink-fizz-3
186,https://www.ravelry.com/patterns/library/so-basic-sweater
187,https://www.ravelry.com/patterns/library/lizzie-sweater
188,https://www.ravelry.com/patterns/library/sunday-funday-sweater
189,https://www.ravelry.com/patterns/library/yume
190,https://www.ravelry.com/patterns/library/friday-sweater-baby
191,https://www.ravelry.com/patterns/library/seaside-sweater-5
192,https://www.ravelry.com/patterns/library/ursa-3
193,https://www.ravelry.com/patterns/library/illuminate-2
194,https://www.ravelry.com/patterns/library/88-7-cardigan-with-crocheted-edge-and-brooch
195,https://www.ravelry.com/patterns/library/kaleidoscope-sweater-3
196,https://www.ravelry.com/patterns/library/kelowna-sweater
197,https://www.ravelry.com/patterns/library/painting-bricks-sweater
198,https://www.ravelry.com/patterns/library/bobble-loop-sweater
199,https://www.ravelry.com/patterns/library/the-weekender-light
200,https://www.ravelry.com/patterns/library/afmli---20-year-anniversary-sweater
201,https://www.ravelry.com/patterns/library/perfect-fit-dog-cat-sweater--pattern-generator
202,https://www.ravelry.com/patterns/library/sweater-no-12
203,https://www.ravelry.com/patterns/library/rift-7
204,https://www.ravelry.com/patterns/library/clotilde-sweater
205,https://www.ravelry.com/patterns/library/winters-beach-cardi
206,https://www.ravelry.com/patterns/library/the-throwover
207,https://www.ravelry.com/patterns/library/dew-sweater
208,https://www.ravelry.com/patterns/library/sheep-camp-sweater
209,https://www.ravelry.com/patterns/library/mossy-kids-sweater
210,https://www.ravelry.com/patterns/library/comfort-fade-cardi
211,https://www.ravelry.com/patterns/library/aosta-sweater
212,https://www.ravelry.com/patterns/library/northland-sweater
213,https://www.ravelry.com/patterns/library/zipper-sweater---man
214,https://www.ravelry.com/patterns/library/sayuri-sweater-2
215,https://www.ravelry.com/patterns/library/muscari-sweater
216,https://www.ravelry.com/patterns/library/cabled-panel-sweater-2
217,https://www.ravelry.com/patterns/library/mrs-weasleys-home-knit-christmas-sweaters
218,https://www.ravelry.com/patterns/library/louvre-sweater
219,https://www.ravelry.com/patterns/library/fortune-sweater
220,https://www.ravelry.com/patterns/library/jay-sweater
221,https://www.ravelry.com/patterns/library/rye-4
222,https://www.ravelry.com/patterns/library/humulus-2
223,https://www.ravelry.com/patterns/library/rai-rai-sweater
224,https://www.ravelry.com/patterns/library/panglossian-sweater
225,https://www.ravelry.com/patterns/library/city-limits-2
226,https://www.ravelry.com/patterns/library/love-witch-sweater
227,https://www.ravelry.com/patterns/library/shima-sweater
228,https://www.ravelry.com/patterns/library/tiny-sweaters-2
229,https://www.ravelry.com/patterns/library/lawrenson-sweater
230,https://www.ravelry.com/patterns/library/last-unicorn-sweater-hat-cowl
231,https://www.ravelry.com/patterns/library/shifty-2
232,https://www.ravelry.com/patterns/library/goldwing-2
233,https://www.ravelry.com/patterns/library/snowy-forest
234,https://www.ravelry.com/patterns/library/nightshift
235,https://www.ravelry.com/patterns/library/laia-3
236,https://www.ravelry.com/patterns/library/rues-de-paris-sweater
237,https://www.ravelry.com/patterns/library/all-together-sweater
238,https://www.ravelry.com/patterns/library/boy-sweater
239,https://www.ravelry.com/patterns/library/bean--olive
240,https://www.ravelry.com/patterns/library/soundtrack-2
241,https://www.ravelry.com/patterns/library/betty--judy-lodge-sweater
242,https://www.ravelry.com/patterns/library/alma-sweater
243,https://www.ravelry.com/patterns/library/so-faded
244,https://www.ravelry.com/patterns/library/villmarksgenseren-the-wilderness-sweater
245,https://www.ravelry.com/patterns/library/dandy-dog-sweater
246,https://www.ravelry.com/patterns/library/bunny-with-a-striped-sweater
247,https://www.ravelry.com/patterns/library/dog-in-a-sweater
248,https://www.ravelry.com/patterns/library/cozy-classic-raglan
249,https://www.ravelry.com/patterns/library/magnolia-chunky-cardigan
250,https://www.ravelry.com/patterns/library/magnolia-bloom-2
251,https://www.ravelry.com/patterns/library/waffle-sweater-3
252,https://www.ravelry.com/patterns/library/koala-in-a-sweater
253,https://www.ravelry.com/patterns/library/bright-axis
254,https://www.ravelry.com/patterns/library/wool--honey
255,https://www.ravelry.com/patterns/library/daddy-son-sweater
256,https://www.ravelry.com/patterns/library/palm-canyon-video-sweater-class
257,https://www.ravelry.com/patterns/library/cinnabar-sweater
258,https://www.ravelry.com/patterns/library/kuutar
259,https://www.ravelry.com/patterns/library/sceal-gra
260,https://www.ravelry.com/patterns/library/painting-honeycombs-sweater
261,https://www.ravelry.com/patterns/library/stockholm-sweater-v-neck
262,https://www.ravelry.com/patterns/library/leaf-sweater-winter-edition
263,https://www.ravelry.com/patterns/library/novice-sweater-junior
264,https://www.ravelry.com/patterns/library/bouquet-sweater
265,https://www.ravelry.com/patterns/library/oslo-sweater-2
266,https://www.ravelry.com/patterns/library/metsanpeitto-sweater
267,https://www.ravelry.com/patterns/library/novice-sweater---mohair-edtion
268,https://www.ravelry.com/patterns/library/olori-sweater-tee
269,https://www.ravelry.com/patterns/library/frid-sweater
270,https://www.ravelry.com/patterns/library/bright-sweater
271,https://www.ravelry.com/patterns/library/night-blooms-sweater
272,https://www.ravelry.com/patterns/library/festival-sweater-2
273,https://www.ravelry.com/patterns/library/little-dream-sweater-2
274,https://www.ravelry.com/patterns/library/edwardian-sweater
275,https://www.ravelry.com/patterns/library/wrap-me-up-sweater-scarf
276,https://www.ravelry.com/patterns/library/harness-friendly-dog-sweater
277,https://www.ravelry.com/patterns/library/elton-3
278,https://www.ravelry.com/patterns/library/hermiones-time-turner-sweater
279,https://www.ravelry.com/patterns/library/sweater-no-8
